participantId,systemA_display,systemB_display,preference,trust_static,trust_adaptive,trust_A_mean,trust_B_mean
P1762758347459,static,adaptive,B,5.6,6.2,5.6,6.2
P1762759586629,adaptive,static,B,4.4,3.4,3.4,4.4
P1762778408604,static,adaptive,A,5.0,4.4,5.0,4.4
P1762784584837,adaptive,static,A,2.2,3.8,3.8,2.2
P1762788749929,static,adaptive,B,2.0,5.2,2.0,5.2
P1762790665424,static,adaptive,B,3.4,4.0,3.4,4.0
P1762790824624,static,adaptive,B,5.4,6.8,5.4,6.8
P1762806191644,adaptive,static,A,2.6,6.4,6.4,2.6
P1762828792941,static,adaptive,B,2.4,5.0,2.4,5.0
P1762892098453,adaptive,static,B,5.4,5.4,5.4,5.4
P1763319687099,adaptive,static,A,4.8,7.0,7.0,4.8
P1763322316544,static,adaptive,B,6.0,7.0,6.0,7.0
P1763322467442,adaptive,static,B,5.2,4.8,4.8,5.2
P1764352217441,static,adaptive,B,6.0,7.0,6.0,7.0
